,id,for_user_id,round_id,turn_id,idea_content,idea_content2,annotation_ali,annotation_krish
93,2180,51,4,2,spin it on a table for games,spin it on a table for games,116,25
94,2179,51,4,2,stick in hair for hair buns,stick in hair for hair buns,70,53
95,2178,51,4,2,spin with fingers as fidget toy,spin with fingers as fidget toy,140,25
96,2437,51,5,1,place in room to dampen sound,place in room to dampen sound,317,317
97,2436,51,5,1,decorate walls,decorate walls,21,21
98,2435,51,5,1,use for drill exercises,use for drill exercises,75,75
99,2434,51,5,1,use to plant vegetables,use to plant vegetables,61,61
100,2433,51,5,1,tire swing,tire swing,7,7
101,2507,51,5,2,stand on top for balance training,stand on top for balance training,114,114
102,2506,51,5,2,use for weight training,use for weight training,91,91
103,2505,51,5,2,bounce on it for fun,bounce on it for fun,169,169
104,2504,51,5,2,use tire marks as texture for painting,use tire marks as texture for painting,92,92
105,1584,52,1,1,Coin purse,coin purse,99,117
106,1583,52,1,1,Use as a dog toy,use as a dog toy,60,35
107,1582,52,1,1,Bottle holder,bottle holder,198,113
108,1581,52,1,1,Something to paint on,something to paint on,38,143
109,1580,52,1,1,Use as a flowerpot,use as a flowerpot,266,5
110,1594,52,1,2,Throw at kids,throw at kids,15,14
111,1593,52,1,2,Tie the laces together and throw them for fun,tie the laces together and throw them for fun,548,14
112,1592,52,1,2,Store small things in it,store small things in it,267,38
113,1591,52,1,2,Use in self defense,use in self defense,15,14
114,1590,52,1,2,Open bottles,open bottles,156,3
115,1589,52,1,2,Kill insects,kill insects,18,4
116,1625,52,2,1,Holding thread,holding thread,186,39
117,1624,52,2,1,Play table hockey by flicking them with your fingers,play table hockey by flicking them with your fingers,24,34
118,1623,52,2,1,Use multiple of them to make crafts with,use multiple of them to make crafts with,3,3
119,1622,52,2,1,Sew onto a jacket as decoration,sew onto a jacket as decoration,8,24
120,1639,52,2,2,Decorate your phone case with it,decorate your phone case with it,140,25
121,1638,52,2,2,Make a bracelet with it,make a bracelet with it,11,121
122,1637,52,2,2,Make art with it,make art with it,3,3
123,1636,52,2,2,Paint on it,paint on it,3,3
124,1694,52,3,1,Weigh down curtains,weigh down curtains,4,8
125,1693,52,3,1,Decorate it to add some individuality,decorate it to add some individuality,331,41
126,1692,52,3,1,Use the straight edge to draw straight lines,use the straight edge to draw straight lines,130,60
127,1691,52,3,1,Put it on a fishing line and use it as bait,put it on a fishing line and use it as bait,44,47
128,1690,52,3,1,To scratch off the grey parts of scratch-off cards,to scratch off the grey parts of scratch-off cards,36,12
129,1689,52,3,1,As a pendant on a necklace,as a pendant on a necklace,11,19
130,1727,52,3,2,Use as a decoration,use as a decoration,25,41
131,1726,52,3,2,Use it to open cans if your nails are short,use it to open cans if your nails are short,67,39
132,1725,52,3,2,Use as a screwdriver,use as a screwdriver,79,77
133,1724,52,3,2,Scratching the car of people you don't like,scratching the car of people you don't like,59,12
134,1804,52,4,1,Use as a support for plants that droop over,use as a support for plants that droop over,254,31
135,1803,52,4,1,Fix a zipper by running the lead up and down the zipper teeth,fix a zipper by running the lead up and down the zipper teeth,170,69
136,1802,52,4,1,Use as a little extra firewood in a pinch,use as a little extra firewood in a pinch,8,10
137,1801,52,4,1,Make tiny sculptures out of the tip,make tiny sculptures out of the tip,14,4
138,1800,52,4,1,Snap it in half and now you have two pencils,snap it in half and now you have two pencils,163,135
139,1880,52,4,2,Get it really sharp and use it to play throwing darts with,get it really sharp and use it to play throwing darts with,39,17
140,1879,52,4,2,Play pretend with it,play pretend with it,398,0
141,1878,52,4,2,Put it on the floor and let the cat play with it,put it on the floor and let the cat play with it,75,21
142,1877,52,4,2,Hang things off of it,hang things off of it,339,15
143,1876,52,4,2,Carve it into something else,carve it into something else,41,16
144,2037,52,5,1,Use the rubber like a hula hoop,use the rubber like a hula hoop,58,58
145,2036,52,5,1,Make a dog bed,make a dog bed,66,66
146,2035,52,5,1,Make it into a planter,make it into a planter,31,31
147,2034,52,5,1,Put a stack of them together to make a stool,put a stack of them together to make a stool,100,100
148,2033,52,5,1,Use as a swing,use as a swing,7,7
149,2106,52,5,2,Roll it down a hill for fun,roll it down a hill for fun,12,12
150,2105,52,5,2,Upgrade the tires on a wagon,upgrade the tires on a wagon,407,407
151,2104,52,5,2,Hide things in it,hide things in it,78,78
152,2103,52,5,2,Make sculptures with them,make sculptures with them,51,51
153,1610,53,1,1,christmas ornament,christmas ornament,121,51
154,1609,53,1,1,3rd base,3rd base,484,0
155,1608,53,1,1,paint brush,paint brush,38,66
156,1607,53,1,1,a fan,a fan,962,164
157,1606,53,1,1,throw at unpopular politians,throw at unpopular politians,15,14
158,1605,53,1,1,planter for a ficus tree,planter for a ficus tree,55,5
159,1631,53,1,2,clapper,clapper,507,223
160,1630,53,1,2,paper weight,paper weight,594,29
161,1629,53,1,2,gnome house,gnome house,297,42
162,1628,53,1,2,head basher,head basher,885,14
163,1627,53,1,2,hand warmer,hand warmer,109,64
164,1626,53,1,2,piggy bank,piggy bank,99,117
165,1659,53,2,1,eye patch,eye patch,236,151
166,1658,53,2,1,toe separator for pedicure,toe separator for pedicure,66,50
167,1657,53,2,1,landing pad for butterflies,landing pad for butterflies,293,208
168,1656,53,2,1,a sail boat for faries,a sail boat for faries,223,185
169,1655,53,2,1,a frisbee for mice,a frisbee for mice,231,130
170,1654,53,2,1,A replacement on a checker board,a replacement on a checker board,41,34
171,1700,53,2,2,organizing thread,organizing thread,218,39
172,1699,53,2,2,viewer for eclipse,viewer for eclipse,69,53
173,1698,53,2,2,roof of a doll car,roof of a doll car,410,28
174,1697,53,2,2,bulls eye on a target,bulls eye on a target,196,149
175,1696,53,2,2,false money for vending machines,false money for vending machines,83,66
176,1695,53,2,2,page marker in cookbook,page marker in cookbook,82,46
177,1749,53,3,1,magic trick,magic trick,263,0
178,1748,53,3,1,toe exerciser,toe exerciser,166,137
179,1747,53,3,1,ugly necklace,ugly necklace,11,19
180,1746,53,3,1,tap shoe replacement hack,tap shoe replacement hack,260,73
181,1745,53,3,1,counter balance for tiny pendulum,counter balance for tiny pendulum,60,42
182,1744,53,3,1,secret code for spy ring,secret code for spy ring,177,0
183,1827,53,3,2,wind chime,wind chime,16,25
184,1826,53,3,2,pumpkin carver,pumpkin carver,196,10
185,1825,53,3,2,clean grout,clean grout,244,104
186,1824,53,3,2,head scratcher,head scratcher,36,40
187,1823,53,3,2,electric plug replacement prong,electric plug replacement prong,159,150
188,1822,53,3,2,self defense,self defense,40,45
189,1929,53,4,1,use a bunch glued together for a life sized replica of the great wall of china,use a bunch glued together for a life sized replica of the great wall of china,304,28
190,1928,53,4,1,as a finger baton,as a finger baton,56,76
191,1927,53,4,1,to tie your hair up,to tie your hair up,70,53
192,1926,53,4,1,coloring in marks on scratched furniture,coloring in marks on scratched furniture,309,106
193,1925,53,4,1,replacement for the bottle in truth or dare,replacement for the bottle in truth or dare,116,25
194,1924,53,4,1,stabbing the eye of your pirate attacher,stabbing the eye of your pirate attacher,61,5
195,2014,53,4,2,weight the bottom of curtains,weight the bottom of curtains,264,108
196,2013,53,4,2,lead poison your enemies,lead poison your enemies,71,68
197,2012,53,4,2,cat toy,cat toy,75,21
198,2011,53,4,2,to punch out the center of a cookie,to punch out the center of a cookie,96,91
199,2010,53,4,2,tent peg,tent peg,19,15
200,2009,53,4,2,for hunting in the amazon,for hunting in the amazon,115,97
201,2160,53,5,1,bouncy toy for giants babies,bouncy toy for giants babies,169,169
202,2159,53,5,1,ruin road stripes,ruin road stripes,377,377
203,2158,53,5,1,block sidewalks from politicians,block sidewalks from politicians,207,207
204,2157,53,5,1,hook a chain and a ham on it to catch Jaws and remove unwanted piers,hook a chain and a ham on it to catch jaws and remove unwanted piers,48,48
205,2156,53,5,1,Scandinavian down hill race chaser,scandinavian down hill race chaser,249,249
206,2155,53,5,1,christmas tree holder,christmas tree holder,164,164
207,2253,53,5,2,hold down hot air balloons,hold down hot air balloons,277,277
208,2252,53,5,2,burn for Indian smoke singles,burn for indian smoke singles,139,139
209,2251,53,5,2,recycle playground cover,recycle playground cover,311,311
210,2250,53,5,2,horse feeder,horse feeder,60,60
211,2249,53,5,2,soccer goal,soccer goal,278,278
212,2248,53,5,2,planter,planter,31,31
213,1600,54,1,1,Use as decoration,use as decoration,46,19
214,1599,54,1,1,Plant some flowers in them,plant some flowers in them,266,5
215,1598,54,1,1,Resell for profit,resell for profit,94,54
216,1597,54,1,1,Collect them,collect them,934,199
217,1596,54,1,1,Play the shoe toss game,play the shoe toss game,31,27
218,1595,54,1,1,Serve as levler for unstable table,serve as levler for unstable table,172,93
219,1621,54,1,2,Take apart and combine different shoes,take apart and combine different shoes,122,70
220,1620,54,1,2,Use the shoelace as a belt,use the shoelace as a belt,758,45
221,1619,54,1,2,Throw them for self-defence,throw them for self-defence,15,14
222,1618,54,1,2,Use for juggling,use for juggling,942,228
223,1617,54,1,2,Use them as handwear for handstands,use them as handwear for handstands,30,21
224,1616,54,1,2,"For leather shoes, repurpose the leather for something like a purse","for leather shoes, repurpose the leather for something like a purse",99,118
225,1665,54,2,1,Poker chips,poker chips,46,34
226,1664,54,2,1,Wheel for toy car,wheel for toy car,60,30
227,1663,54,2,1,Accessory on clothes,accessory on clothes,263,24
228,1662,54,2,1,Miniture table hockey,miniture table hockey,24,17
229,1661,54,2,1,As a coin for a game,as a coin for a game,83,64
230,1660,54,2,1,As decoration for an art piece,as decoration for an art piece,3,3
231,1709,54,2,2,Acessories for figurines,acessories for figurines,8,3
232,1708,54,2,2,Decorate on bag/backpack,decorate on bag/backpack,8,25
233,1707,54,2,2,String them together to make a necklace,string them together to make a necklace,11,94
234,1706,54,2,2,Plates for minature food,plates for minature food,174,28
235,1705,54,2,2,Checker pieces,checker pieces,41,34
236,2227,54,3,1,Attaach as accessory,attaach as accessory,35,19
237,2226,54,3,1,Decoration for art piece,decoration for art piece,25,34
238,2225,54,3,1,Tie string and use as a hook and line,tie string and use as a hook and line,251,68
239,2224,54,3,1,Use as necklace,use as necklace,11,19
240,2634,54,3,2,musical instrument like triangle,musical instrument like triangle,157,62
241,2633,54,3,2,make a fan with it,make a fan with it,65,34
242,2632,54,3,2,use for bracelet,use for bracelet,126,120
243,2631,54,3,2,Attach to glasses for monocle like look,attach to glasses for monocle like look,69,37
244,2630,54,3,2,Pencil sharpener,pencil sharpener,41,46
245,2825,54,4,1,Windmill/fan,windmill/fan,327,109
246,2824,54,4,1,Attach to bottom of shoes for rolling,attach to bottom of shoes for rolling,172,89
247,2823,54,4,1,Poles for gingerbread house/model house,poles for gingerbread house/model house,175,64
248,2822,54,4,1,Use as holders on peg board,use as holders on peg board,171,15
249,2821,54,4,1,Glue together to make a house,glue together to make a house,82,64
250,2820,54,4,1,Drums(pencil tapping),drums(pencil tapping),7,9
251,2959,54,4,2,Shovel,shovel,94,7
252,2958,54,4,2,Make model trees,make model trees,367,4
253,2957,54,4,2,glue together to make sword,glue together to make sword,135,5
254,2956,54,4,2,Use as ruler,use as ruler,11,13
255,2955,54,4,2,Chopsticks,chopsticks,33,32
256,2954,54,4,2,Use to hold hair bun,use to hold hair bun,300,53
257,3034,54,5,1,Get in it and roll around like in Grown Ups 2,get in it and roll around like in grown ups 2,180,180
258,3033,54,5,1,Obstacle course,obstacle course,47,47
259,3032,54,5,1,Stands for bed,stands for bed,401,401
260,3031,54,5,1,Store equipment/tools,store equipment/tools,100,100
261,3030,54,5,1,Make fertilizer in it,make fertilizer in it,306,306
262,3029,54,5,1,Pot for plants,pot for plants,38,38
263,3085,54,5,2,Tie a rope and drag the tire as a workout,tie a rope and drag the tire as a workout,5,5
264,3084,54,5,2,Use as a chair,use as a chair,22,22
265,3083,54,5,2,Make more tires by melting the rubber,make more tires by melting the rubber,29,29
266,3082,54,5,2,Balance atop the tire upright,balance atop the tire upright,114,114
267,3081,54,5,2,Mini goals for ball games,mini goals for ball games,322,322
268,3080,54,5,2,Large frisbee,large frisbee,81,81
269,1615,55,1,1,Decoration or collection,decoration or collection,46,19
270,1614,55,1,1,Storage for socks so you don't lose them,storage for socks so you don't lose them,83,10
271,1613,55,1,1,Swat people away,swat people away,15,14
272,1612,55,1,1,Taking out the lace to use the string as a belt,taking out the lace to use the string as a belt,731,45
273,1611,55,1,1,Killing a bug,killing a bug,18,4
274,1635,55,1,2,Holding doors and entrances open,holding doors and entrances open,32,22
275,1634,55,1,2,Grow small vegetables,grow small vegetables,4,5
276,1633,55,1,2,Use it for safety/self defense,use it for safety/self defense,576,14
277,1632,55,1,2,Using it to nail difficult objects,using it to nail difficult objects,112,67
278,1688,55,2,1,Use them as a decoration on a purse or bag,use them as a decoration on a purse or bag,8,25
279,1687,55,2,1,Collect them,collect them,146,140
280,1686,55,2,1,Make eyes for a stuffed animal,make eyes for a stuffed animal,104,26
281,1685,55,2,1,Bookmark,bookmark,116,46
282,1684,55,2,1,Turn it into a hairclip,turn it into a hairclip,55,24
283,1737,55,2,2,Use them to help hang things up,use them to help hang things up,77,76
284,1736,55,2,2,Turn it into other jewelry such as putting it on a bracelet,turn it into other jewelry such as putting it on a bracelet,11,121
285,1735,55,2,2,Turn them into something that you can use in a basic game,turn them into something that you can use in a basic game,41,34
286,1734,55,2,2,Use them in creative art projects,use them in creative art projects,3,3
287,1815,55,3,1,Use for self defense if anyone is bothering you,use for self defense if anyone is bothering you,49,45
288,1814,55,3,1,Help with opening a difficult package,help with opening a difficult package,19,24
289,1813,55,3,1,Scratch a ticket,scratch a ticket,37,12
290,1812,55,3,1,Put keys together and use them to play with a pet,put keys together and use them to play with a pet,284,27
291,1811,55,3,1,Clean under your nails,clean under your nails,27,104
292,1897,55,3,2,Use it as a replacement for a piece you can't find in a game,use it as a replacement for a piece you can't find in a game,174,3
293,1896,55,3,2,Use it to get an itch that your fingers aren't good enough to help with,use it to get an itch that your fingers aren't good enough to help with,36,40
294,1895,55,3,2,Pop balloons after a party/celebration,pop balloons after a party/celebration,83,23
295,1894,55,3,2,Make things like jewelry and wall decorations,make things like jewelry and wall decorations,33,19
296,2049,55,4,1,Use it to pick up some items that fall on the floor like paper clips or an eraser,use it to pick up some items that fall on the floor like paper clips or an eraser,321,55
297,2048,55,4,1,Use it to keep a paper flat and still on a table if you're doing work,use it to keep a paper flat and still on a table if you're doing work,129,108
298,2047,55,4,1,Spin it around in a spin the bottle type of fashion,spin it around in a spin the bottle type of fashion,116,25
299,2046,55,4,1,Tap it to make basic music,tap it to make basic music,121,9
300,2128,55,4,2,Poke holes in containers that can be used for storage purposes,poke holes in containers that can be used for storage purposes,251,6
301,2127,55,4,2,Flatten things like playdough or clay,flatten things like playdough or clay,58,50
302,2126,55,4,2,Organize them by different colors and use them as a decoration or just for aesthetic purposes,organize them by different colors and use them as a decoration or just for aesthetic purposes,97,33
303,2125,55,4,2,Help cleaning very difficult surfaces like screens or keyboards,help cleaning very difficult surfaces like screens or keyboards,139,74
304,2124,55,4,2,"Use it for stress relief; bite it, break it, poke it into something","use it for stress relief; bite it, break it, poke it into something",167,11
305,2338,55,5,1,Store things on top of them and inside them,store things on top of them and inside them,282,282
306,2337,55,5,1,Lay them flat on the ground as use them as an exercise,lay them flat on the ground as use them as an exercise,30,30
307,2336,55,5,1,Roll it around to transport smaller objects that you can't carry all at once,roll it around to transport smaller objects that you can't carry all at once,19,19
308,2335,55,5,1,Hang it up on a tree to use as a swing,hang it up on a tree to use as a swing,7,7
309,2334,55,5,1,Roll it back and forth with someone else,roll it back and forth with someone else,55,55
310,2333,55,5,1,Climb inside it and roll down a hill,climb inside it and roll down a hill,12,12
311,2453,55,5,2,Turn it into a surface that you can sit on or put things on at a party,turn it into a surface that you can sit on or put things on at a party,124,124
312,2452,55,5,2,Make a small habitat in the middle of it for animals to hide in,make a small habitat in the middle of it for animals to hide in,78,78
313,2451,55,5,2,Stack them on top of each other and climb on them,stack them on top of each other and climb on them,93,93
314,2450,55,5,2,Use it as a mini garden to grow vegetables and plants,use it as a mini garden to grow vegetables and plants,61,61
315,1787,56,1,1,play with,play with,399,148
316,1786,56,1,1,cut laces and use a gift wra[,cut laces and use a gift wra[,104,60
317,1785,56,1,1,swat bug,swat bug,334,4
318,1784,56,1,1,hide money,hide money,17,31
319,1917,56,1,2,hit something,hit something,768,14
320,1916,56,1,2,childrens toy,childrens toy,399,58
321,1915,56,1,2,make instrumentstring from lacess,make instrumentstring from lacess,43,45
322,1914,56,1,2,make baseball mit from rubber,make baseball mit from rubber,625,99
323,2247,56,2,1,book mark,book mark,63,46
324,2246,56,2,1,make a path,make a path,84,70
325,2245,56,2,1,childrens toy,childrens toy,150,37
326,2244,56,2,1,use to make art,use to make art,3,3
327,2359,56,2,2,take apart,take apart,201,175
328,2358,56,2,2,glue to paper,glue to paper,319,3
329,2357,56,2,2,put in jar for guessing game,put in jar for guessing game,129,9
330,2356,56,2,2,use ask hocky puck,use ask hocky puck,24,17
331,2708,56,3,1,smack someone,smack someone,40,45
332,2707,56,3,1,make noise,make noise,16,25
333,2706,56,3,1,use as jewlery,use as jewlery,33,19
334,2705,56,3,1,scratch car,scratch car,59,12
335,2792,56,3,2,pick lock,pick lock,55,29
336,2791,56,3,2,break window,break window,5,9
337,2790,56,3,2,open can,open can,67,39
338,2789,56,3,2,crave art,crave art,28,34
339,2953,56,4,1,pock hole,pock hole,17,6
340,2952,56,4,1,glue to paper,glue to paper,326,169
341,2951,56,4,1,stab something,stab something,130,5
342,2950,56,4,1,chew,chew,64,21
343,2949,56,4,1,noise maker,noise maker,336,9
344,3012,56,4,2,pick lock,pick lock,80,40
345,3011,56,4,2,use erasers as rubb tips,use erasers as rubb tips,267,0
346,3010,56,4,2,bounce into cups,bounce into cups,209,154
347,3009,56,4,2,put in jar for guessing game,put in jar for guessing game,269,25
348,3107,56,5,1,hit somethings,hit somethings,402,402
349,3106,56,5,1,use rubber for gloves,use rubber for gloves,197,197
350,3105,56,5,1,use to play game,use to play game,238,238
351,3104,56,5,1,sell,sell,37,37
352,3131,56,5,2,swing,swing,7,7
353,3130,56,5,2,hat,hat,171,171
354,3129,56,5,2,hoola hoop,hoola hoop,58,58
355,3128,56,5,2,melt metal,melt metal,271,271
356,1677,57,1,1,Kids Toy,kids toy,399,58
357,1676,57,1,1,Christmas Ornament,christmas ornament,121,51
358,1675,57,1,1,Paperweight,paperweight,412,29
359,1674,57,1,1,Meat Tenderizer,meat tenderizer,884,191
360,1673,57,1,1,Doorstop,doorstop,113,22
361,1672,57,1,1,Planeter for a houseplant,planeter for a houseplant,4,5
362,1717,57,1,2,hiding place for things in back of closet,hiding place for things in back of closet,17,31
363,1716,57,1,2,pet hat upside down,pet hat upside down,60,108
364,1715,57,1,2,creative coster--drink goes in opening,creative coster--drink goes in opening,16,113
365,1714,57,1,2,Key dish at entrance,key dish at entrance,291,63
366,1793,57,2,1,hold eyes closed on a dead person,hold eyes closed on a dead person,151,143
367,1792,57,2,1,game piece on a board game,game piece on a board game,48,34
368,1791,57,2,1,part of a mosaic,part of a mosaic,168,3
369,1790,57,2,1,add to a chain and wear as a necklace,add to a chain and wear as a necklace,11,94
370,1789,57,2,1,dish in a dollhouse,dish in a dollhouse,3,28
371,1788,57,2,1,add to a garland or ornament,add to a garland or ornament,8,7
372,1865,57,2,2,run cord through the opening to organize them,run cord through the opening to organize them,158,155
373,1864,57,2,2,use as an eye on a scarecrow,use as an eye on a scarecrow,110,153
374,1863,57,2,2,let kids trace to make perfect circles,let kids trace to make perfect circles,28,21
375,1862,57,2,2,glue a mangnebt on the back to make a refrigerator magnent,glue a mangnebt on the back to make a refrigerator magnent,2,2
376,1861,57,2,2,use as a divination tool in the I ching,use as a divination tool in the i ching,163,158
377,2008,57,3,1,replacement arrow on a board game spinner,replacement arrow on a board game spinner,81,7
378,2007,57,3,1,gift for a crow,gift for a crow,137,112
379,2006,57,3,1,offering on an alter,offering on an alter,313,185
380,2005,57,3,1,pull on a ceiling fan,pull on a ceiling fan,65,41
381,2004,57,3,1,charm on a necklace,charm on a necklace,11,19
382,2003,57,3,1,nail scraper,nail scraper,27,12
383,2102,57,3,2,tick remover,tick remover,281,13
384,2101,57,3,2,add to a romantic card as a metaphor,add to a romantic card as a metaphor,266,21
385,2100,57,3,2,add to dog collar to make noise against nametag to hear them coming,add to dog collar to make noise against nametag to hear them coming,18,33
386,2099,57,3,2,clean edges around sinks and faucets,clean edges around sinks and faucets,309,104
387,2098,57,3,2,tool to work with clay,tool to work with clay,2,2
388,2243,57,4,1,telephone dialer,telephone dialer,168,137
389,2242,57,4,1,muscle and fascia scraper,muscle and fascia scraper,248,42
390,2241,57,4,1,place between door and door frame to prop door open slightly,place between door and door frame to prop door open slightly,328,38
391,2240,57,4,1,garden stake for small plants,garden stake for small plants,254,31
392,2239,57,4,1,skewer for appetizers,skewer for appetizers,25,26
